FM,KD_JENIS_TRANSAKSI,FG_PENGGANTI,NOMOR_FAKTUR,MASA_PAJAK,TAHUN_PAJAK,TANGGAL_FAKTUR,NPWP,NAMA,ALAMAT_LENGKAP,JUMLAH_DPP,JUMLAH_PPN,JUMLAH_PPNBM,IS_CREDITABLE
FM,01,0,0100051944350305,09,2019,30/09/2019,017781618421000,PT. TRIDHARMA MEGAMITRA,JL. INDUSTRI IV NO.02 RT 002 RW 009 UTAMA CIMAHI SELATAN ,23332404,2333240,0,1
FM,01,0,0100061907152814,09,2019,30/09/2019,014830111441000,PT. KAMARGA KURNIA TEXTILE INDUSTRI,"JL.CIBALIGO KM.3, CIMAHI SELATAN CIMAHI JAWA BARAT - 00000 ",6171931,617193,0,1
FM,01,0,0100061907152814,09,2019,30/09/2019,014830111441000,PT. KAMARGA KURNIA TEXTILE INDUSTRI,"JL.CIBALIGO KM.3, CIMAHI SELATAN CIMAHI JAWA BARAT - 00000 ",5198835,519883,0,1
FM,01,0,0100061907152814,09,2019,30/09/2019,014830111441000,PT. KAMARGA KURNIA TEXTILE INDUSTRI,"JL.CIBALIGO KM.3, CIMAHI SELATAN CIMAHI JAWA BARAT - 00000 ",3602482,360248,0,1
FM,01,0,0100061907152814,09,2019,30/09/2019,014830111441000,PT. KAMARGA KURNIA TEXTILE INDUSTRI,"JL.CIBALIGO KM.3, CIMAHI SELATAN CIMAHI JAWA BARAT - 00000 ",7617000,761700,0,1
FM,01,0,0100061907152797,09,2019,28/09/2019,014830111441000,PT. KAMARGA KURNIA TEXTILE INDUSTRI,"JL.CIBALIGO KM.3, CIMAHI SELATAN CIMAHI JAWA BARAT - 00000 ",8536235,853623,0,1
FM,01,0,0100061907152797,09,2019,28/09/2019,014830111441000,PT. KAMARGA KURNIA TEXTILE INDUSTRI,"JL.CIBALIGO KM.3, CIMAHI SELATAN CIMAHI JAWA BARAT - 00000 ",15546221,1554622,0,1
FM,01,0,0100061907152797,09,2019,28/09/2019,014830111441000,PT. KAMARGA KURNIA TEXTILE INDUSTRI,"JL.CIBALIGO KM.3, CIMAHI SELATAN CIMAHI JAWA BARAT - 00000 ",4333708,433370,0,1
FM,01,0,0100051944350285,09,2019,27/09/2019,017781618421000,PT. TRIDHARMA MEGAMITRA,JL. INDUSTRI IV NO.02 RT 002 RW 009 UTAMA CIMAHI SELATAN ,18106075,1810607,0,1
FM,01,0,0100051944350285,09,2019,27/09/2019,017781618421000,PT. TRIDHARMA MEGAMITRA,JL. INDUSTRI IV NO.02 RT 002 RW 009 UTAMA CIMAHI SELATAN ,34060940,3406094,0,1
