"id","name","code"
"tk1","HQ SLP","tk1"
"tk2","HQ SMT","tk2"
"tk3","Sekelimus","tk3"
"tk4","SMASH (Satu Manufacturing Shafco)","tk4"
"tk5","SR KARTINI (INDRAGIRI)","tk5"
"tk6","SR SULANJANA","tk6"
"tk7","Mezora Urip Sumoharjo Makassar","tk7"
"tk8","ZOYA BALIKPAPAN (RUKO BANDAR)","tk8"
"tk9","SR GUBENG","tk9"
"tk10","SR Buah Batu","tk10"
"tk11","ZOYA COSMETIC YOGYAKARTA","tk11"
"tk12","SR DJUANDA BOGOR","tk12"
"tk13","SR TUPAREV","tk13"
"tk14","SR PONDOK BAMBU","tk14"
"tk15","ZOYA ROYAL PLAZA SURABAYA 1","tk15"
"tk16","LGM Surabaya","tk16"
"tk17","SR BANJARMASIN","tk17"
"tk18","ZOYA CIWALK","tk18"
"tk19","SR CIBUBUR JUNCTION","tk19"
"tk20","SR CIKAJANG","tk20"
"tk21","ZOYA PASAR BARU LT 4","tk21"
"tk22","ZOYA BIP","tk22"
"tk23","ZOYA MEDAN JUANDA","tk23"
"tk24","ZOYA MAKASSAR 1 PETARANI","tk24"
"tk25","GUDANG AREA MAKASAR","tk25"
"tk26","ZOYA UJUNG BERUNG","tk26"
"tk27","SR MEDAN","tk27"
"tk28","SR Boulevard","tk28"
"tk29","SR PALEMBANG","tk29"
"tk30","ZOYA PURWAKARTA","tk30"
"tk31","ZOYA MAKASSAR 2 PERINTIS","tk31"
"tk32","GUDANG AREA JAWA BARAT","tk32"
"tk33","ZOYA DEPOK","tk33"
"tk34","OFFICE CIKAJANG","tk34"
"tk35","Zoya Setiabudi","tk35"
"tk36","ZOYA PERMATA HIJAU","tk36"
"tk37","SR BIP","tk37"
"tk38","ZOYA PEKANBARU 2","tk38"
"tk39","ZOYA PADANG","tk39"
"tk40","SR BSD","tk40"
"tk41","SR PEKAN BARU","tk41"
"tk42","SR KELAPA GADING","tk42"
"tk43","ZOYA DIPONEGORO SURABAYA","tk43"
"tk44","ZOYA PALEMBANG","tk44"
"tk45","ZOYA TASIKMALAYA 2","tk45"
"tk46","Zoya Ampera","tk46"
"tk47","ZOYA PEKANBARU","tk47"
"tk48","SR KAWI MALANG","tk48"
"tk49","ZOYA PLAZA MEDAN FAIR","tk49"
"tk50","Mezora Panakukang Makassar","tk50"
"tk51","ZOYA SERANG","tk51"
"tk52","SR BINTARO","tk52"
"tk53","ZOYA SOLO 2","tk53"
"tk54","Mezora Festlink","tk54"
"tk55","KANVASING MAKASSAR","tk55"
"tk56","ZOYA KAWI MALANG","tk56"
"tk57","Mezora Pasar Baru Lt 5","tk57"
"tk58","Gudang Area Diponegoro","tk58"
